OBJECTID,Join_Count,TARGET_FID,Source,OutletID,Name,Address,Parish,PlusCode,Latitude,Longitude,Category,Healthy,BusinessOnGoogleMaps,Notes,OBJECTID_1,ID3,ENUM_NO1,PARISHNAM1,POPULATION,MALES,FEMALE,PARISH,OUTLET_Cat,Unhealthy1,Healthy1
105,1,105,Find Yello Directory,R143,Lucky Horseshoe Saloon & Steakhouse-Worthing,"Worthing Main Road, Christ Church",Christ Church,78523CC9+CW,13.071063,-59.580188,Full Service,Healthy,yes,,356,357,203,Christ Churc,310,138,172,Christ Churc,Full Service,0,0
106,1,106,Find Yello Directory,R144,Lucky Horseshoe Saloon & Steakhouse-Warrens,"Gordon Cummins Highway, Warrens, St. Michael",St. Michael,785249RR+RF,13.142062,-59.608812,Full Service,Healthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Full Service,0,0
107,1,107,Find Yello Directory,R145,Lucky Horseshoe Saloon & Steakhouse-Bagatelle,"Bagatelle, St. Thomas",St. Thomas,7852597P+WC,13.164813,-59.613937,Full Service,Healthy,yes,,315,316,487,St. Thomas,333,157,176,St. Thomas,Full Service,0,0
108,1,108,Find Yello Directory,R146,Lucky Horseshoe Saloon & Steakhouse-Bridgetown,"City Centre Mall, Bridgetown, St. Michael",St. Michael,785239XJ+9Q,13.098437,-59.618063,Full Service,Healthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Full Service,0,0
109,1,109,Find Yello Directory,R147,MMM- I Like I like,"Swan Street, Bridgetown, St. Michael",St. Michael,785239XM+8P,13.098313,-59.615687,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
110,1,110,Find Yello Directory,R149,Mews Restaurant,"2nd Street, Holetown, St. James",St. James,785259P7+Q7,13.186937,-59.636813,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
111,1,111,Google Maps,R150,Mojo's Grill,"Worthing Main Road, Christ Church",Christ Church,78523CC8+Q7,13.071938,-59.584312,Full Service,Healthy,yes,,352,353,199,Christ Churc,75,32,43,Christ Churc,Full Service,0,0
112,1,112,Find Yello Directory,R151,Muscovado Bar & Restaurant,"Hotel PomMarine, Hastings, Christ Church",Christ Church,78523CG3+G8,13.076313,-59.596688,Full Service,Healthy,yes,,337,338,184,Christ Churc,215,103,112,Christ Churc,Full Service,0,0
113,1,113,Find Yello Directory,R152,Mustor's Harbour Bar & Restaurant,"Mc. Gregor St, Bridgetown, St. Michael",St. Michael,785239WM+V8,13.097188,-59.616688,Full Service,Healthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Full Service,0,0
114,1,114,Find Yello Directory,R153,Naniki Barbados,"Suriname, St. Joseph",St. Joseph,78525FX3+M2,13.199188,-59.547438,Full Service,Healthy,yes,,248,248,511,St. Joseph,530,282,248,St. Joseph,Full Service,0,0
115,1,115,Find Yello Directory,R154,Naru Restaurant & Lounge,"Hastings Main Road, Christ Church",Christ Church,78523CF4+GX,13.073812,-59.592562,Full Service,Healthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Full Service,0,0
116,1,116,Find Yello Directory,R155,New Century Chinese Restaurant,"Top Rock Roundabout, Christ Church",Christ Church,78523C9J+R7,13.069562,-59.569312,Limited Service,Unhealthy,yes,,355,356,202,Christ Churc,481,221,260,Christ Churc,Limited Service,1,0
117,1,117,Find Yello Directory,R156,New China Gardens,"Maxwell Main Road, Chirst Church",Christ Church,78523C8W+P9,13.066813,-59.554063,Limited Service,Unhealthy,yes,,378,379,228,Christ Churc,334,163,171,Christ Churc,Limited Service,1,0
118,1,118,Find Yello Directory,R157,On The Bay,"Yellow Bird Hotel, Oistins, Christ Church",Christ Church,78523C9F+FR,13.068687,-59.575437,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
119,1,119,Find Yello Directory,R158,Open Kitchen Inc,"1 Millhouse Complex, Canewood, St. Thomas",St. Thomas,78524CW4+VP,13.147188,-59.593187,Full Service,Healthy,yes,,60,60,80,St. Michael,369,190,179,St. Michael,Full Service,0,0
120,1,120,Find Yello Directory,R160,Pacifika Kitchen,"Accra Hotel and Spa, Rockley, Christ Church",Chirst Church,78523CF6+P3,13.074312,-59.589813,Full Service,Healthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Full Service,0,0
121,1,121,Google Maps,R161,Paradise Pizza,"Highway 7, Christ Church",Christ Church,78523C9H+PF,13.069313,-59.571313,Limited Service,Unhealthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Limited Service,1,0
122,1,122,Find Yello Directory,R162,Paradise Peak,"Pine Road, Bridgetown, St. Michael",St. Michael,785239WX+2G,13.095063,-59.601188,Limited Service,Unhealthy,yes,,104,104,126,St. Michael,263,122,141,St. Michael,Limited Service,1,0
123,1,123,Find Yello Directory,R165,Pepenero,"Limegrove Lifestyle Centre, Holetown, St. James",St. James,785259P7+JJ,13.186563,-59.635938,Full Service,Healthy,yes,,193,193,439,St. James,258,124,134,St. James,Full Service,0,0
124,1,124,Find Yello Directory,R166,Pink Star Enterpises Ltd,"Baxters Road, Bridgetown, St. Michael",St. Michael,7852493M+J3,13.104062,-59.617313,Limited Service,Unhealthy,yes,,4,4,5,St. Michael,266,141,125,St. Michael,Limited Service,1,0
125,1,125,Find Yello Directory,R167,Pita Pan Grill,"Worthing Main Road, Christ Church",Christ Church,78523CCC+96,13.070937,-59.579438,Limited Service,Unhealthy,yes,,356,357,203,Christ Churc,310,138,172,Christ Churc,Limited Service,1,0
126,1,126,Find Yello Directory,R168,Pizza-Man-Doc,"Sheraton Mall, Sargeant Village, Christ Church",Christ Church,78523CMM+49,13.082812,-59.566563,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
127,1,127,Find Yello Directory,R171,Primo Bar & Bistro,"St. Lawrence Gap, Christ Church",Christ Church,78523C9F+6V,13.068062,-59.575312,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
128,1,128,Google Maps,R172,Pure Ocean,"St. Lawrence Gap, Christ Church",Christ Church,78523C8H+QG,13.066937,-59.571188,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
129,1,129,Find Yello Directory,R174,Rascals Barbados,"Spring Garden Highway, St. Michael",St. Michael,7852498F+H2,13.116437,-59.627437,Full Service,Healthy,yes,,171,171,23,St. Michael,343,168,175,St. Michael,Full Service,0,0
130,1,130,Find Yello Directory,R175,Rastafari Health Trade Culture Circle,"Tweedside Road, Bridgetown, St. Michael",St. Michael,7852493W+27,13.102562,-59.604312,Limited Service,Unhealthy,yes,,100,100,122,St. Michael,518,246,272,St. Michael,Limited Service,1,0
131,1,131,Google maps,R176,Red Dragon Chinese Restaurant,"112 Roebuck Street, Bridgetown, St. Michael",St. Michael,7852492Q+67,13.100563,-59.611812,Limited Service,Unhealthy,yes,,2,2,3,St. Michael,372,198,174,St. Michael,Limited Service,1,0
132,1,132,Google maps,R179,Rolli's Bar & Grill,"Princess Alice Highway, Bridgetown, St. Michael",St. Michael,785239XG+4V,13.097812,-59.622813,Limited Service,Unhealthy,yes,,11,11,8,St. Michael,664,356,308,St. Michael,Limited Service,1,0
133,1,133,Google maps,R182,Royal Chinese Restaurant,"Six Roads, St. Philip",St. Philip,78524G8G+XF,13.117437,-59.473813,Limited Service,Unhealthy,yes,,556,557,375,St. Philip,525,235,290,St. Philip,Limited Service,1,0
134,1,134,Google maps,R185,Sand Dunes Bar & Restaurant,"Ermy Bourne Highway, Windy Hill, St. Andrew",St. Andrew,78526CWQ+HF,13.246437,-59.561312,Full Service,Healthy,yes,,257,257,522,St. Andrew,498,251,247,St. Andrew,Full Service,0,0
135,1,135,Google maps,R186,Sandpiper (The),"The Sandpiper Resort, Holetown, St. James",St. James,785259Q6+CW,13.188562,-59.637687,Full Service,Healthy,yes,,324,325,437,St. James,186,81,105,St. James,Full Service,0,0
136,1,136,Google maps,R187,Satjay Bridgetown Centre Ltd,"Victoria Street, Bridgetown, St. Michael",St. Michael,785239XM+5V,13.097938,-59.615313,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
137,1,137,Google maps,R191,Seacat Restaurant,"Harlcynth House, Highway 1, Holetown",St. James,785259V6+5J,13.192937,-59.638438,Full Service,Healthy,yes,,324,325,437,St. James,186,81,105,St. James,Full Service,0,0
138,1,138,Google maps,R193,Senses Marche,"11th Avenue, Belleville",St. Michael,7852492X+2H,13.100062,-59.601063,Limited Service,Unhealthy,yes,,104,104,126,St. Michael,263,122,141,St. Michael,Limited Service,1,0
139,1,139,Google maps,R194,Shaker's Bar & Grill,Browns Gap,Christ Church,78523CG5+W9,13.077312,-59.591563,Limited Service,Unhealthy,yes,,340,341,187,Christ Churc,314,147,167,Christ Churc,Limited Service,1,0
140,1,140,Google maps,R195,Shipwreck Lounge Bar & Restaurant,"Church Street Gardens Road, Speightstown",St. Peter,78527935+5G,13.252937,-59.641188,Full Service,Healthy,yes,,311,312,544,St. Peter,504,226,278,St. Peter,Full Service,0,0
141,1,141,Google maps,R196,Siam Restaurant,Maxwell Coast Road,Christ Church,78523C8R+67,13.065563,-59.559313,Full Service,Healthy,yes,Deia Beach opened at this location in 2022,375,376,225,Christ Churc,137,67,70,Christ Churc,Full Service,0,0
142,1,142,Google maps,R197,Sitar Indian Restaurant,"2nd Street, Holetown",St. James,785259P7+R55,13.187012,-59.637016,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
143,1,143,Google maps,R198,Snappers Grill & Restaurant,"Oistins Main Road, Oistins",Christ Church,78523F74+CVR,13.063612,-59.542859,Limited Service,Unhealthy,yes,,419,420,284,Christ Churc,134,63,71,Christ Churc,Limited Service,1,0
144,1,144,Google maps,R202,Subway- Lantern Mall,"Lantern's Mall, Hastings",Christ Church,78523CF4+V9W,13.074738,-59.594047,Limited Service,Unhealthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Limited Service,1,0
145,1,145,Google maps,R203,Subway-Sheraton Mall,Sheraton Mall,Christ Church,78523CMM+49,13.082812,-59.566563,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
146,1,146,Google maps,R204,Subway-The Walk,"The Walk, Welches",St. Thomas,7852594Q+2F,13.155062,-59.611313,Limited Service,Unhealthy,yes,,227,227,485,St. Thomas,361,178,183,St. Thomas,Limited Service,1,0
147,1,147,Google maps,R205,Subway-Trident House,"Trident House, Bridgetown",St. Michael,785239XM+634,13.098012,-59.617297,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
148,1,148,Google maps,R206,Super Q Restaurant,"Cheapside Road, Bridgetown",St. Michael,785239XG+VX,13.099687,-59.622563,Limited Service,Unhealthy,yes,,11,11,8,St. Michael,664,356,308,St. Michael,Limited Service,1,0
149,1,149,Google maps,R207,Surfers Cafe,"Highway 7, Oistins",Christ Church,78523F73+RC,13.064563,-59.546437,Full Service,Healthy,yes,,375,376,225,Christ Churc,137,67,70,Christ Churc,Full Service,0,0
150,1,150,Google maps,R208,Surfside Restaurant & Bar,"Highway 1, Holetown",St. James,785259P6+7M,13.185688,-59.638313,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
151,1,151,Google maps,R209,T N T Barbeque  Hut,Gordon Cummings Highway,St. Michael,785249M9+39,13.132687,-59.631563,Limited Service,Unhealthy,yes,,582,583,17,St. Michael,244,116,128,St. Michael,Limited Service,1,0
152,1,152,Google maps,R210,Tamarind of the Island Inc,"Sky Mall, Haggatt Hall ",St. Michael,78524C4C+8C,13.105812,-59.578937,Limited Service,Unhealthy,yes,,172,172,178,St. Michael,509,241,268,St. Michael,Limited Service,1,0
153,1,153,Google maps,R211,Tapas,Hastings main Road,Christ Church,78523CF4+G5,13.073812,-59.594562,Full Service,Healthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Full Service,0,0
154,1,154,Google maps,R212,The Beach House / Paul Owen's Resturant,"Highway 1, Holetown",St. James,785259M6+7C,13.183187,-59.638938,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
155,1,155,Google maps,R213,The Cliff Beach Club,Durants,St. James,78525957+26,13.157563,-59.636938,Full Service,Healthy,yes,,222,222,479,St. James,342,170,172,St. James,Full Service,0,0
156,1,156,Google maps,R214,The Club Barbados Resort & Spa - Sunset Restaurant,"Highway 1, Holetown",St. James,785259G6+WG,13.177312,-59.638688,Full Service,Healthy,yes,,197,197,443,St. James,126,66,60,St. James,Full Service,0,0
157,1,157,Google maps,R216,The Coffee Bean,"Gardenia Ave, Holetown",St. James,785259H6+8X,13.178313,-59.637563,Limited Service,Unhealthy,yes,,196,196,442,St. James,81,42,39,St. James,Limited Service,1,0
158,1,158,Google maps,R219,The Golden Apple Cafe,"1st Avenue, Hastings",Christ Church,78523CG3+C8R,13.076113,-59.596734,Full Service,Healthy,no,,337,338,184,Christ Churc,215,103,112,Christ Churc,Full Service,0,0
159,1,159,Google maps,R220,The Restaurant At the Animal Flower Cave,"Animal Flower Cave, North Point",St. Lucy,785289MP+RP,13.334563,-59.613187,Full Service,Healthy,yes,,298,298,572,St. Lucy,353,155,198,St. Lucy,Full Service,0,0
160,1,160,Google maps,R221,The Roti House,Farm Road,St. Michael,7852498H+J4,13.116563,-59.622187,Limited Service,Unhealthy,yes,The Roti Shop may be the correct name.,19,19,22,St. Michael,395,203,192,St. Michael,Limited Service,1,0
161,1,161,Google maps,R222,Rum Stop,"Limegrove Lifestyle Center, Holetown",St. James,785259P7+MJ,13.186687,-59.635938,Full Service,Healthy,yes,,193,193,439,St. James,258,124,134,St. James,Full Service,0,0
162,1,162,Google maps,R223,The Sultan Restaurant,Sheraton Mall,Christ Church,78523CMM+8CF,13.083312,-59.566453,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
163,1,163,Google maps,R224,The Village Bar,Wakefield Tenantry,St. John,78525F9F+W9,13.169812,-59.526563,Limited Service,Unhealthy,yes,,514,515,408,St. John,398,193,205,St. John,Limited Service,1,0
164,1,164,Google maps,R225,The Tides Restaurant,"Balmore House, Holetown",St. James,785259M6+GFP,13.183837,-59.638797,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
165,1,165,Google maps,R229,Wild East Wok,"Sky Mall, Haggat Hall",St. Michael,78524C4C+8C9,13.105787,-59.578891,Limited Service,Unhealthy,yes,,172,172,178,St. Michael,509,241,268,St. Michael,Limited Service,1,0
166,1,166,Google maps,R230,Wing Kwong Restaurant,Black Rock Main Road,St. Michael,785249HC+2HG,13.127562,-59.628547,Limited Service,Unhealthy,yes,,14,14,15,St. Michael,388,172,216,St. Michael,Limited Service,1,0
167,1,167,Google maps,R234,Zaccios Restaurant Bar & Grill,"Highway 1, Holetown",St. James,785259M6+XJ,13.184938,-59.638438,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
168,1,168,Google maps,R235,Zen Restaurant,"Diamond Valley, The Crane",St. Philip,78524H44+C3,13.106063,-59.444813,Full Service,Healthy,yes,,492,493,379,St. Philip,144,71,73,St. Philip,Full Service,0,0
169,1,169,Google maps,R236,Fisherman's Pub,"Queen's Street, Speightstown",St. Peter,78527924+3F,13.250187,-59.643812,Full Service,Healthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Full Service,0,0
170,1,170,Google maps,R237,Spago's,"First Street, Holetown",St. James,785259P7+M6C,13.186687,-59.636984,Full Service,Healthy,yes,,195,195,441,St. James,174,83,91,St. James,Full Service,0,0
171,1,171,Google maps,R238,The Bean and Bagel,Hibiscus Avenue,St. James,785259J6+WVR,13.182362,-59.637859,Limited Service,Unhealthy,no,,195,195,441,St. James,174,83,91,St. James,Limited Service,1,0
172,1,172,Google maps,R240,BabyDoll Restaurant,Hastings Main Road,Christ Church,78523CF4+G8,13.073812,-59.594188,Full Service,Healthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Full Service,0,0
173,1,173,Google maps,R243,Yelluh Meat,Black Rock,St. Michael,7852498M+J3,13.116563,-59.617313,Limited Service,Unhealthy,yes,,27,27,33,St. Michael,392,215,177,St. Michael,Limited Service,1,0
174,1,174,Google maps,R244,Victoria Coffee Shop,"#2, 9th Avenue, Belleville",St. Michael,785239XX+HG,13.098937,-59.601188,Full Service,Healthy,yes,,104,104,126,St. Michael,263,122,141,St. Michael,Full Service,0,0
175,1,175,Google maps,R245,Dina's Bar,"Hill Crest, Bathsheba",St. Joseph,78526F6J+RG,13.212063,-59.518687,Limited Service,Unhealthy,yes,,250,250,514,St. Joseph,360,182,178,St. Joseph,Limited Service,1,0
176,1,176,Google maps,R246,De Garage Bar & Grill,Bathsheba,St. Joseph,78526F6P+4P,13.210313,-59.513188,Limited Service,Unhealthy,yes,,250,250,514,St. Joseph,360,182,178,St. Joseph,Limited Service,1,0
177,1,177,Google maps,R247,Wrong Turn,Eastmont,St. John,78525FGV+PP,13.176813,-59.505688,Limited Service,Unhealthy,yes,,517,518,411,St. John,564,274,290,St. John,Limited Service,1,0
178,1,178,Google maps,R250,In the Mix Bar & Grill,"Forster Lodge, The Glebe",St. George,78524CJH+9G,13.130937,-59.571188,Limited Service,Unhealthy,yes,,451,452,321,St. George,700,376,324,St. George,Limited Service,1,0
179,1,179,Google maps,R251,Jac's Pizza Bar and Restaurant,"Joe's Corner, Checker Hall",St. Lucy,785279M4+7F,13.283188,-59.643812,Limited Service,Unhealthy,yes,,291,291,564,St. Lucy,317,150,167,St. Lucy,Limited Service,1,0
180,1,180,Google maps,R252,Catch-22,Salmond Cul de Sac,St. Lucy,785289G8+M4,13.326688,-59.634687,Full Service,Healthy,yes,,296,296,569,St. Lucy,494,261,233,St. Lucy,Full Service,0,0
181,1,181,Google maps,R253,Dave's Bar and Grill,Walkes Spring,St. Thomas,78525CJH+3C,13.180187,-59.571438,Limited Service,Unhealthy,yes,,243,243,506,St. Thomas,398,190,208,St. Thomas,Limited Service,1,0
182,1,182,Google maps,R256,Scotland View Bar,Indian Ground,St. Andrew,78527C23+Q4,13.251938,-59.597188,Full Service,Healthy,yes,,266,266,531,St. Andrew,322,167,155,St. Andrew,Full Service,0,0
183,1,183,Google maps,R257,Sonia's Sports Bar and Grille,Dunscombe,St. Thomas,78526C33+W2,13.204812,-59.597437,Limited Service,Unhealthy,yes,,234,234,494,St. Thomas,482,234,248,St. Thomas,Limited Service,1,0
184,1,184,Google maps,R258,Dis Ole House Kitchen and Garden,"Belair Road, Long Bay",St. Philip,78524HG8+3G,13.125187,-59.433688,Full Service,Healthy,yes,,501,502,391,St. Philip,598,289,309,St. Philip,Full Service,0,0
185,1,185,Google maps,R259,De Roti Shop,"Welches Road, Oistins",Christ Church,78523C8W+HJ,13.066437,-59.553438,Limited Service,Unhealthy,yes,,378,379,228,Christ Churc,334,163,171,Christ Churc,Limited Service,1,0
186,1,186,Google maps,R260,Cottage Bar and Grill,"Orange Cottage, Horse Hill, St. Joseph",St. Joseph,78525FW4+RH,13.197062,-59.543563,Full Service,Healthy,yes,,248,248,511,St. Joseph,530,282,248,St. Joseph,Full Service,0,0
187,1,187,Google maps,M001,4A's Super Mart,"Evelyn Ave.Bayville, Bridgetown, Barbados",St. Michael,785239QV+7P,13.088188,-59.605688,Mini mart/Convience store,Unhealthy,,,111,111,133,St. Michael,506,249,257,St. Michael,Mini mart/Convience store,1,0
188,1,188,Find Yello Barbados Directory (Online),M002,Barbarees Mini Mart,Barbarees Hill,St. Michael,7852495M+HF,13.108937,-59.616312,Mini mart/Convience store,Unhealthy,,,63,63,85,St. Michael,256,118,138,St. Michael,Mini mart/Convience store,1,0
189,1,189,Find Yello Barbados Directory (Online),M003,Benson's Mini Mart,"Lot 29, Thorpes Terrace, BB23007, Barbados",St. James,852592G+X4,13.152438,-59.624688,Mini mart/Convience store,Unhealthy,,,214,214,465,St. James,557,265,292,St. James,Mini mart/Convience store,1,0
190,1,190,Directory Barbados (Online),M004,C S Mini Mart,"ParadeRoad, Reece Road, Bridgetown, Barbados",St. Michael,7852498V+64,13.115562,-59.607188,Mini mart/Convience store,Unhealthy,,,43,43,54,St. Michael,378,169,209,St. Michael,Mini mart/Convience store,1,0
191,1,191,Find Yello Barbados Directory (Online),M005,Mia Mart Limited,"Culloden Road, St. Michael",St. Michael,785249PV+QC,13.136938,-59.606437,Mini mart/Convience store,Unhealthy,,,56,56,75,St. Michael,522,257,265,St. Michael,Mini mart/Convience store,1,0
192,1,192,Directory Barbados (Online),M006,Cherry Grove General Store,"Cheery Grove, Moores",St. John,78525F8J+WX,13.167312,-59.517563,Mini mart/Convience store,Unhealthy,,,516,517,410,St. John,470,215,255,St. John,Mini mart/Convience store,1,0
193,1,193,Google maps,M007,Choice Mini Mart,St. Michael,St. Michael,78523CP3+6Q,13.085562,-59.595562,Mini mart/Convience store,Unhealthy,,,343,344,190,Christ Churc,430,206,224,Christ Churc,Mini mart/Convience store,1,0
194,1,194,Directory Barbados (Online),M009,Ellerton Mart (Fair Deals Inc),"saint, Ellerton, Barbados",St. George,78524FH6+92,13.128438,-59.539938,Mini mart/Convience store,Unhealthy,,,433,434,300,St. George,475,229,246,St. George,Mini mart/Convience store,1,0
195,1,195,Directory Barbados (Online),M010,Fair Deals Inc,"Highway 6, Packers, Barbados",Christ Church,78523GX2+82,13.098313,-59.499938,Mini mart/Convience store,Unhealthy,,,403,404,263,Christ Churc,526,241,285,Christ Churc,Mini mart/Convience store,1,0
196,1,196,Google maps,M011,Fruit and Vegetable Stall- mixed local and imported produce,"Highway 6, Wildey",Christ Church,78523CPF+QF,13.086937,-59.576313,Mini mart/Convience store,Healthy,,,380,381,230,Christ Churc,298,140,158,Christ Churc,Mini mart/Convience store,1,0
197,1,197,Find Yello Barbados Directory (Online),M012,Gap Convenience Store,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C8G+XV,13.067438,-59.572813,Mini mart/Convience store,Unhealthy,,,354,355,201,Christ Churc,182,88,94,Christ Churc,Mini mart/Convience store,1,0
198,1,198,Google maps,M013,Gman Variety,"Deighton Rd, Bridgetown, Barbados",Christ Church,78523CM2+6G,13.083063,-59.598688,Mini mart/Convience store,Unhealthy,,,341,342,188,Christ Churc,513,243,270,Christ Churc,Mini mart/Convience store,1,0
199,1,199,Google maps,M014,G Mart Enterprise,"Bank Hall Cross Rd, Bridgetown, Barbados",St. Michael,7852495R+HP,13.108937,-59.608187,Mini mart/Convience store,Unhealthy,,,82,82,104,St. Michael,401,184,217,St. Michael,Mini mart/Convience store,1,0
200,1,200,Google maps,M015,Grosvenor Mini Mart,"Cave Hill, Barbados",St. Michael,785249MH+MR,13.134187,-59.620438,Mini mart/Convience store,Unhealthy,,,156,156,59,St. Michael,355,162,193,St. Michael,Mini mart/Convience store,1,0
201,1,201,Google maps,M016,Jadabrothers shop,"Deacons Road, Bridgetown, Barbados",St. Michael,7852498G+9R,13.115937,-59.622938,Mini mart/Convience store,Unhealthy,,,19,19,22,St. Michael,395,203,192,St. Michael,Mini mart/Convience store,1,0
202,1,202,Find Yello Barbados Directory (Online),M017,J's Stop 'N'  Shop,"Massiah Street, St. Joseph ",St. Joseph,78525G78+9H,13.163438,-59.483563,Mini mart/Convience store,Unhealthy,,,519,520,413,St. John,296,158,138,St. John,Mini mart/Convience store,1,0
203,1,203,Find Yello Barbados Directory (Online),M018,J's Variety Store,"654 Kingsland, Oistins, Christ Church (WRONG ADDRESS)",St. Michael,785249HG+99,13.128438,-59.624063,mini mart/Convience store,Unhealthy,,,17,17,20,St. Michael,340,196,144,St. Michael,Mini mart/Convience store,1,0
204,1,204,Find Yello Barbados Directory (Online),M019,K G's Mini Mart,2 Kingsland Gardens Oistins Christ Church ,Christ Church,78523FH4+GW,13.078812,-59.542687,Mini mart/Convience store,Unhealthy,,,390,391,243,Christ Churc,334,151,183,Christ Churc,Mini mart/Convience store,1,0
205,1,205,Find Yello Barbados Directory (Online),M020,Kirton's Bar and Grocery,Kendal St. John,St. John,78524FRX+VF,13.142188,-59.501312,Mini mart/Convience store,Unhealthy,,,518,519,412,St. John,524,253,271,St. John,Mini mart/Convience store,1,0
206,1,206,Google maps,M021,Mahabir's Agencies,"King St, Bridgetown, Barbados",St. Michael,7852493M+FP,13.103687,-59.615688,Mini mart/Convience store,Unhealthy,,,3,3,4,St. Michael,354,171,183,St. Michael,Mini mart/Convience store,1,0
207,1,207,Find Yello Barbados Directory (Online),M022,Marshall's Mini-Mart and Bar,"Four Roads, st. Philip, Barbados",St. Philip,78524G6H+C4,13.111063,-59.472188,Mini mart/Convience store,Unhealthy,,,489,490,376,St. Philip,523,268,255,St. Philip,Mini mart/Convience store,1,0
208,1,208,Find Yello Barbados Directory (Online),M023,Mia Mart Ltd,"Green Hill, Barbados",St. Michael,785249PV+QC,13.136937,-59.606437,Mini mart/Convience store,Unhealthy,,,56,56,75,St. Michael,522,257,265,St. Michael,Mini mart/Convience store,1,0
209,1,209,Directory Barbados (Online),M024,Mike's Minimart,"Chancery Lane, Barbados",Christ Church,78523F5R+V3,13.059687,-59.509812,Mini mart/Convience store,Unhealthy,,,418,419,283,Christ Churc,365,170,195,Christ Churc,Mini mart/Convience store,1,0
210,1,210,Directory Barbados (Online),M025,Moontown (St Elmo's) Restaurant & Supermarket,"Sherman Hall Moon Fort, Clinketts, Barbados",St. Lucy,785279G3+M5,13.276688,-59.647063,Supermarket,Healthy,,,288,288,561,St. Lucy,312,167,145,St. Lucy,Supermarket,0,1
211,1,211,Find Yello Barbados Directory (Online),M027,Natasha's Variety,"Black Rock, Bridgetown, Barbados",St. Michael,7852496M+6M,13.110563,-59.615813,Mini mart/Convience store,Unhealthy,,,63,63,85,St. Michael,256,118,138,St. Michael,Mini mart/Convience store,1,0
212,1,212,Find Yello Barbados Directory (Online),M028,Newbury Mini-Mart,"Newbury, St. George",St. George,8524CWW+XP,13.147438,-59.553187,Mini mart/Convience store,Unhealthy,,,449,450,319,St. George,463,237,226,St. George,Mini mart/Convience store,1,0
213,1,213,Find Yello Barbados Directory (Online),M029,Redman's Village Mart,"Redman's Village, St. Thomas",St. Thomas,7852595Q+M6,13.159187,-59.611937,Mini mart/Convience store,Unhealthy,,,229,229,488,St. Thomas,366,177,189,St. Thomas,Mini mart/Convience store,1,0
214,1,214,Find Yello Barbados Directory (Online),M030,Smith's Bar and Mini Mart,"Niles Corner, Ealing Grove, Barbados",Christ Church,78523F5M+3J,13.057687,-59.515938,Mini mart/Convience store,Unhealthy,,,414,415,278,Christ Churc,535,247,288,Christ Churc,Mini mart/Convience store,1,0
215,1,215,Google maps,M031,Sookram Mini Mart,"Rollins Rd, Barbados",Christ Church,78523F2J+P6,13.051812,-59.519437,Mini mart/Convience store,Unhealthy,,,411,412,275,Christ Churc,380,178,202,Christ Churc,Mini mart/Convience store,1,0
216,1,216,Find Yello Barbados Directory (Online),M032,Star Mart,"Trents, St. Lucy",St. Lucy,7852892F+33,13.300187,-59.627313,Mini mart/Convience store,Unhealthy,,,300,300,575,St. Lucy,502,239,263,St. Lucy,Mini mart/Convience store,1,0
217,1,217,Find Yello Barbados Directory (Online),M033,Sunshine Variety ,"Diamond Corner, St. Peter",St. Peter,785279HX+VW,13.279687,-59.600188,Mini mart/Convience store,Unhealthy,,,282,282,555,St. Peter,316,167,149,St. Peter,Mini mart/Convience store,1,0
